,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
390,Renault Kiger,RXZ CVT 1.0 TURBOAutomatic,"Bellahalli, Bengaluru",HatchBack,2021,Renault,32302,1ST OWNER,PETROL,KA-51,967000,1162000,Automatic,2,16151,5 lakh-10 lakh
391,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Bellahalli, Bengaluru",HatchBack,2020,Renault,11662,2ND OWNER,PETROL,KA-01,582000,582000,Automatic,3,3887.333333,5 lakh-10 lakh
392,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2016,Maruti,30740,1ST OWNER,PETROL,KA-41,592000,650000,Manual,7,4391.428571,5 lakh-10 lakh
393,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Maruti,52802,2ND OWNER,PETROL,KA-05,475000,515000,Manual,9,5866.888889,2.5 lakh-5 lakh
394,Nissan Micra,XV CVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Nissan,33902,2ND OWNER,PETROL,KA-05,488000,562000,Automatic,7,4843.142857,2.5 lakh-5 lakh
395,Maruti Alto 800,VXI OManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Maruti,41690,2ND OWNER,PETROL,KA-53,309000,341000,Manual,6,6948.333333,2.5 lakh-5 lakh
396,Hyundai i20,SPORTZ 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Hyundai,47092,2ND OWNER,PETROL,KA-03,477000,525000,Manual,9,5232.444444,2.5 lakh-5 lakh
397,Maruti Celerio X,ZXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,42174,1ST OWNER,PETROL,KA-51,516000,553000,Automatic,5,8434.8,5 lakh-10 lakh
398,Hyundai NEW SANTRO,SPORTZ AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Hyundai,38985,1ST OWNER,PETROL,KA-50,541000,583000,Automatic,5,7797,5 lakh-10 lakh
399,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Hyundai,56719,2ND OWNER,PETROL,KA-04,456000,572000,Automatic,8,7089.875,2.5 lakh-5 lakh
400,Hyundai Elite i20,ASTA 1.4 CRDI (O)Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,67764,1ST OWNER,DIESEL,KA-50,738000,738000,Manual,7,9680.571429,5 lakh-10 lakh
401,Hyundai Elite i20,ASTA 1.2Manual,Sonnappanahalli,HatchBack,2016,Hyundai,31983,1ST OWNER,PETROL,KA-05,721000,742000,Manual,7,4569,5 lakh-10 lakh
402,Maruti Swift,VXI AMTAutomatic,"GT World Mall, Bengaluru",HatchBack,2018,Maruti,87660,1ST OWNER,PETROL,KA-01,612000,705000,Automatic,5,17532,5 lakh-10 lakh
403,Maruti Alto,VXI PLUSManual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,24343,2ND OWNER,PETROL,KA-51,429000,468000,Manual,2,12171.5,2.5 lakh-5 lakh
404,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVTManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Hyundai,26580,2ND OWNER,PETROL,KA-03,402000,417000,Manual,9,2953.333333,2.5 lakh-5 lakh
405,Maruti IGNIS,ZETA 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,74643,1ST OWNER,PETROL,KA-06,520000,568000,Automatic,6,12440.5,5 lakh-10 lakh
406,Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,20042,1ST OWNER,PETROL,KA-51,498000,558000,Manual,9,2226.888889,2.5 lakh-5 lakh
407,Honda Brio,S MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Honda,22262,2ND OWNER,PETROL,KA-03,407000,431000,Manual,8,2782.75,2.5 lakh-5 lakh
408,Tata Tiago,XT PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Tata,68039,2ND OWNER,PETROL,KA-53,478000,515000,Manual,6,11339.83333,2.5 lakh-5 lakh
409,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2020,Renault,12341,1ST OWNER,PETROL,KA-05,541000,582000,Automatic,3,4113.666667,5 lakh-10 lakh
410,Maruti Ritz,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Maruti,106747,1ST OWNER,PETROL,KA-04,360000,389000,Manual,10,10674.7,2.5 lakh-5 lakh
411,Honda Brio,V MTManual,"Bellahalli, Bengaluru",HatchBack,2014,Honda,64312,1ST OWNER,PETROL,KA-01,368000,413000,Manual,9,7145.777778,2.5 lakh-5 lakh
412,Honda Brio,S(O) MTManual,"Bellahalli, Bengaluru",HatchBack,2012,Honda,60181,2ND OWNER,PETROL,KA-05,317000,358000,Manual,11,5471,2.5 lakh-5 lakh
413,Maruti Celerio,ZXIManual,"GT World Mall, Bengaluru",HatchBack,2020,Maruti,37365,1ST OWNER,PETROL,KA-51,511000,524000,Manual,3,12455,5 lakh-10 lakh
414,Maruti Celerio,ZXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,52209,1ST OWNER,PETROL,KA-51,433000,487000,Manual,8,6526.125,2.5 lakh-5 lakh
415,Hyundai i20,ASTA 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Hyundai,44326,1ST OWNER,PETROL,KA-04,480000,504000,Manual,11,4029.636364,2.5 lakh-5 lakh
416,Maruti Swift,LXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,44437,1ST OWNER,PETROL,KA-01,435000,465000,Manual,10,4443.7,2.5 lakh-5 lakh
417,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2019,Hyundai,42976,1ST OWNER,PETROL,KA-04,577000,637000,Manual,4,10744,5 lakh-10 lakh
