,Car_Model,Configuration,Type,Discounted_Price,Location
730,2016 Hyundai i10,"29,960 KM
1ST OWNER
PETROL
KA-03",MAGNA 1.1Manual,"₹3,87,000
₹4,66,000","Bellahalli, Bengaluru"
731,2013 Maruti Alto 800,"59,845 KM
1ST OWNER
PETROL
KA-41",LXIManual,"₹2,39,000
₹2,83,000","Bellahalli, Bengaluru"
732,2022 Maruti Alto,"653 KM
1ST OWNER
PETROL
KA-04",VXIManual,"₹4,60,000
₹4,72,000","Bellahalli, Bengaluru"
733,2012 Maruti Alto 800,"73,938 KM
1ST OWNER
PETROL
KA-04",LXIManual,"₹2,10,000
₹2,42,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
734,2014 Hyundai i20,"41,425 KM
1ST OWNER
DIESEL
KA-03",ASTA 1.4 CRDIManual,"₹5,57,000
₹6,07,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
735,2011 Hyundai i20,"75,477 KM
1ST OWNER
PETROL
KA-04",MAGNA (O) 1.2Manual,"₹3,47,000
₹3,58,000","GT World Mall, Bengaluru"
736,2011 Hyundai i10,"96,116 KM
2ND OWNER
PETROL
KA-04",SPORTZ 1.2Manual,"₹2,78,000
₹3,10,000","Bellahalli, Bengaluru"
737,2012 Maruti Swift,"97,868 KM
1ST OWNER
DIESEL
KA-34",VDIManual,"₹4,39,000
₹4,64,000","Bellahalli, Bengaluru"
738,2012 Maruti Swift,"23,815 KM
1ST OWNER
PETROL
KA-02",VXIManual,"₹4,70,000
₹5,15,000","GT World Mall, Bengaluru"
739,2015 Maruti Alto K10,"30,751 KM
1ST OWNER
PETROL
KA-03",VXI PManual,"₹3,05,000
₹3,56,000","Hosur Road, Singasandra, Bengaluru"
740,2016 Hyundai i10,"42,444 KM
1ST OWNER
PETROL
KA-51",MAGNA 1.1Manual,"₹3,86,000
₹4,40,000","Bellahalli, Bengaluru"
741,2015 Hyundai Elite i20,"1,02,118 KM
2ND OWNER
PETROL
KA-02",ASTA 1.2Manual,"₹5,06,000
₹5,47,000","Bellahalli, Bengaluru"
742,2017 Hyundai Elite i20,"26,195 KM
1ST OWNER
PETROL
KA-04",ASTA 1.2Manual,"₹6,63,000
₹7,57,000","Horamavu Agara Road, Bengaluru"
743,2015 Maruti Wagon R 1.0,"77,659 KM
1ST OWNER
PETROL
KA-01",VXIManual,"₹3,51,000
₹4,16,000","Bellahalli, Bengaluru"
744,2010 Maruti Wagon R 1.0,"48,860 KM
1ST OWNER
PETROL
KA-53",LXIManual,"₹2,54,750
₹2,90,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
