,Car_Model,Configuration,Type,Discounted_Price,Location
139,2018 Maruti Ciaz,"1,02,633 KM
1ST OWNER
DIESEL
KA-63",ALPHA DIESEL 1.3Manual,"₹8,04,000
₹8,42,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
140,2015 Maruti Swift Dzire,"17,811 KM
1ST OWNER
PETROL
KA-53",ZXIManual,"₹6,65,000
₹6,86,000",Sonnappanahalli
141,2018 Honda City,"68,906 KM
2ND OWNER
PETROL
KA-04",1.5L I-VTEC ZX CVTAutomatic,"₹10,17,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
142,2018 Maruti Dzire,"54,137 KM
1ST OWNER
PETROL
KA-05",VXI AMTAutomatic,"₹6,18,000
₹6,74,000","Bellahalli, Bengaluru"
143,2019 Honda City,"21,527 KM
1ST OWNER
PETROL
KA-53",1.5L I-VTEC VX CVTAutomatic,"₹11,07,000
₹11,76,000",Sonnappanahalli
144,2019 Honda City,"19,024 KM
2ND OWNER
PETROL
KA-04",1.5L I-VTEC V MTManual,"₹9,33,000
₹9,46,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
145,2018 Honda Amaze,"33,294 KM
2ND OWNER
PETROL
KA-03",1.2L I-VTEC V CVTAutomatic,"₹7,27,000
₹7,63,000","Horamavu Agara Road, Bengaluru"
146,2016 Maruti Ciaz,"79,019 KM
1ST OWNER
DIESEL
KA-43",ZDI SHVSManual,"₹6,93,000
₹7,58,000","Bellahalli, Bengaluru"
147,2017 Maruti Ciaz,"1,09,720 KM
1ST OWNER
PETROL
KA-04",ZETA 1.4 MT PETROLManual,"₹6,42,000
₹6,82,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
148,2018 Honda Amaze,"55,146 KM
2ND OWNER
PETROL
KA-03",1.2L I-VTEC V CVTAutomatic,"₹6,85,000
₹7,91,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
149,2018 Honda City,"41,462 KM
1ST OWNER
PETROL
KA-01",1.5L I-VTEC ZX CVTAutomatic,"₹10,12,000
₹11,02,000","GT World Mall, Bengaluru"
150,2020 Maruti Ciaz,"40,908 KM
1ST OWNER
PETROL
KA-02",DELTA 1.5 SHVS MT PETROLManual,"₹8,09,000
₹8,51,000","Bellahalli, Bengaluru"
151,2018 Toyota YARIS,"33,425 KM
1ST OWNER
PETROL
KA-51",G CVTAutomatic,"₹7,94,000
₹9,73,000","Horamavu Agara Road, Bengaluru"
